_id,SL No,Year,Month,State Name,Constituency Name,Candidate Name,Sex,Party,Constituency Type,Total Electors,Valid Votes,Candidate Votes,Turnout %,Candidate Vote Share %,Winning Margin %
397,397,2019,4,Telangana,ADILABAD,SOYAM BAPU RAO,M,BJP,ST,1488353,1063730,377374,71.47,35.48,5.51
398,398,2019,4,Telangana,PEDDAPALLE,VENKATESH NETHA BORLAKUNTA,M,TRS,SC,1478062,970051,441321,65.63,45.49,9.81
399,399,2019,4,Telangana,KARIMNAGAR,BANDI SANJAY KUMAR,M,BJP,GEN,1650893,1147697,498276,69.52,43.42,7.8
400,400,2019,4,Telangana,NIZAMABAD,ARVIND DHARMAPURI,M,BJP,GEN,1552838,1062768,480584,68.44,45.22,6.67
401,401,2019,4,Telangana,ZAHIRABAD,B.B.PATIL,M,TRS,GEN,1497996,1044365,434244,69.72,41.58,0.6
402,402,2019,4,Telangana,MEDAK,KOTHA PRABHAKAR REDDY,M,TRS,GEN,1602947,1150223,596048,71.76,51.82,27.51
403,403,2019,4,Telangana,MALKAJGIRI,ANUMULA REVANTH REDDY,M,INC,GEN,3149710,1563063,603748,49.63,38.63,0.7
404,404,2019,4,Telangana,SECUNDRABAD,G . KISHAN REDDY,M,BJP,GEN,1968147,915106,384780,46.5,42.05,6.79
405,405,2019,4,Telangana,HYDERABAD,ASADUDDIN OWAISI,M,AIMIM,GEN,1957772,877872,517471,44.84,58.95,32.14
406,406,2019,4,Telangana,CHELVELLA,DR. G. RANJITH REDDY,M,TRS,GEN,2442600,1300194,528148,53.23,40.62,1.1
407,407,2019,4,Telangana,MAHBUBNAGAR,MANNE SRINIVAS REDDY,M,TRS,GEN,1505190,984634,411402,65.42,41.78,7.9
408,408,2019,4,Telangana,NAGARKURNOOL,POTHUGANTI RAMULU,M,TRS,SC,1587281,989847,499672,62.36,50.48,19.17
409,409,2019,4,Telangana,NALGONDA,UTTAM KUMAR REDDY NALAMADA,M,INC,GEN,1585433,1175703,526028,74.16,44.74,2.18
410,410,2019,4,Telangana,BHONGIR,KOMATI REDDY VENKAT REDDY,M,INC,GEN,1627527,1212631,532795,74.51,43.94,0.43
411,411,2019,4,Telangana,WARANGAL,DAYAKAR PASUNOORI,M,TRS,SC,1666085,1061645,612498,63.72,57.69,33
412,412,2019,4,Telangana,MAHABUBABAD,KAVITHA MALOTHU,F,TRS,ST,1423351,983535,462109,69.1,46.98,14.91
413,413,2019,4,Telangana,KHAMMAM,NAMA NAGESWR RAO,M,TRS,GEN,1513094,1139831,567459,75.33,49.78,14.74
414,414,2019,4,Tripura,TRIPURA WEST,PRATIMA BHOUMIK,F,BJP,GEN,1347381,1107755,573532,82.22,51.77,27.6
415,415,2019,4,Tripura,TRIPURA EAST,REBATI TRIPURA,M,BJP,ST,1250777,1045417,482126,83.58,46.12,19.54
416,416,2019,4,Uttar Pradesh,SAHARANPUR,HAJI FAZLUR REHMAN,M,BSP,GEN,1722580,1231746,514139,71.51,41.74,1.82
417,417,2019,4,Uttar Pradesh,KAIRANA,PRADEEP KUMAR,M,BJP,GEN,1643934,1124047,566961,68.38,50.44,8.2
418,418,2019,4,Uttar Pradesh,MUZAFFARNAGAR,SANJEEV KUMAR BALYAN,M,BJP,GEN,1685594,1160071,573780,68.82,49.46,0.56
419,419,2019,4,Uttar Pradesh,BIJNOR,MALOOK NAGAR,M,BSP,GEN,1651105,1100763,561045,66.67,50.97,6.35
420,420,2019,4,Uttar Pradesh,NAGINA,GIRISH CHANDRA,M,BSP,SC,1574994,1009456,568378,64.09,56.31,16.53
421,421,2019,4,Uttar Pradesh,MORADABAD,DR. S.T. HASAN,M,SP,GEN,1941267,1282206,649416,66.05,50.65,7.63
422,422,2019,4,Uttar Pradesh,RAMPUR,MOHAMMAD AZAM KHAN,M,SP,GEN,1668479,1060921,559177,63.59,52.71,10.37
